"ID";"Telefon dienstlich";"Mobiltelefon";"Fax";"Telefon privat";"Pager-Nummer";"Andere Telefonnummer";"E-Mail dienstlich";"E-Mail privat";"Andere E-Mail";"Verantwortlich";"Logo";"Unternehmensname";"Unternehmenstyp";"Mitarbeiter";"Unternehmenswebsite";"Persönliche Seite";"Facebook-Seite";"LiveJournal";"Twitter";"Andere Website";"Skype-ID";"ICQ-Nummer";"MSN/Live!";"Jabber";"Andere Kontaktmöglichkeit";"Adresse";"Straße";"Zimmernummer / Raum";"Stadt";"Region";"Bundesland / Kanton";"PLZ";"Land";"Rechnungsadresse";"Straße (für Rechnungen)";"Zimmernummer / Raum (für Rechnungen)";"Stadt (für Rechnungen)";"Region (für Rechnungen)";"Bundesland / Kanton (für Rechnungen)";"PLZ (für Rechnungen)";"Land (für Rechnungen)";"Bankverbindung";"Branche";"Jahresgewinn";"Währung";"Kommentar";"Erstellt von";"Erstellt am";"Geändert von";"Geändert am";"Zusatz";"Straße";"PLZ";"Ort";"Land";"Sperrvermerk";"Attribute";"Klientensegmentierung";"Wunschklient";"Letzte Rechnungsstellung (Jahr)";"VS_Kontaktperson";
"2731";" (0)231 997-0";"";"";"";"";"";"info@abpinduction.com";"";"";"Michael Kasteleiner";"";"ABP Induction Systems GmbH";"# nicht ausgewählt #";"";"";"";"";"";"";"";"";"";"";"";"";"Kanalstraße 25<br />
44147 Dortmund<br/>";"Kanalstraße 25
44147 Dortmund";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Beate Büder-Wendelborn";"01.09.2015 14:43:08";"Beate Büder-Wendelborn";"01.09.2015 14:47:59";"";"Kanalstraße  25";"44147";"Dortmund";"DE";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"2896";"+49 (9375) 84-0";"";"";"";"";"";"";"";"";"Andreas Simon";"";"haacon hebetechnik gmbh";"# nicht ausgewählt #";"100-200";"www.haason.de";"";"";"";"";"";"";"";"";"";"";"Josef-Haamann-Str. 6<br />
D-97896 Freudenberg/Main<br/>";"Josef-Haamann-Str. 6
D-97896 Freudenberg/Main";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"19";"Euro";"";"Anna Ljubomirska";"14.12.2015 14:32:05";"Beate Büder-Wendelborn";"07.01.2016 14:10:51";"";"";"";"";"";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"0";"";
"980";"+49 (2522) 30-0";"";"";"";"";"";"";"";"";"Michael Kasteleiner";"";"HAVER & BOECKER OHG";"# nicht ausgewählt #";"<100";"http://www.haverboecker.de/";"";"";"";"";"";"";"";"";"";"";"Carl-Haver-Platz 3<br />
59302 Oelde<br/>";"Carl-Haver-Platz 3
59302 Oelde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"2009 1066 Mitarbeiter 360 Mio Umsatz";"Tim Comanns";"19.12.2013 15:19:30";"Beate Büder-Wendelborn";"14.02.2017 09:49:07";"Maschinenfabrik";"Carl-Haver-Platz 3";"59302";"Oelde";"DE";"";"Höchstleisterstudie 2014: Potenzieller Kandidat";"B-Kunde = über 150 Mio. Umsatz";"nein";"2011";"Nicole Tietz";
"2772";"0043 662 2281-81006";"";"";"";"";"";"";"";"";"Martin Mittendorf";"";"Palfinger AG";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"Lamprechtshausener Bundesstrasse 8<br />
5101 Bergheim | Österreich<br/>";"Lamprechtshausener Bundesstrasse 8
5101 Bergheim | Österreich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Azra Avdagic";"06.10.2015 09:40:18";"Beate Büder-Wendelborn";"31.01.2017 09:04:41";"";"";"";"";"";"";"";"B-Kunde = über 150 Mio. Umsatz";"nein";"0";"";
"2995";"+49 (5246) 96 08-0 ";"";"";"";"";"";"";"";"";"Martin Mittendorf";"";"KÖCKERLING GmbH & Co. KG";"# nicht ausgewählt #";"100-200";"";"";"";"";"";"";"";"";"";"";"";"Lindenstraße 11-13<br />
D - 33415 Verl<br/>";"Lindenstraße 11-13
D - 33415 Verl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"50";"Euro";"";"Anna Ljubomirska";"29.03.2016 11:36:14";"Beate Büder-Wendelborn";"23.02.2017 11:43:22";"";"";"";"";"";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"2977";"+49 (7451) 902-0";"";"";"";"";"";"";"";"";"Benno Löffler";"";"Maschinenfabrik Lauffer GmbH & Co. KG";"# nicht ausgewählt #";"200-350";"";"";"";"";"";"";"";"";"";"";"";"Industriestr. 101<br />
D-72160 Horb am Neckar<br/>";"Industriestr. 101
D-72160 Horb am Neckar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"36";"Euro";"";"Anna Ljubomirska";"17.03.2016 14:34:32";"Beate Büder-Wendelborn";"07.02.2017 09:15:41";"";"";"";"";"";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"0";"";
"2559";"+49 (6805) 94 15-0";"";"";"";"";"";"info@fas-conveyorsystems.de";"";"";"Andreas Simon";"";"FAS FörderAnlagen Systeme GmbH";"# nicht ausgewählt #";"<100";"http://www.fas-conveyorsystems.de";"";"";"";"";"";"";"";"";"";"";"Max-Planck-Str. 5<br />
66271 Kleinblittersdorf<br/>";"Max-Planck-Str. 5
66271 Kleinblittersdorf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Tochtergesellschaft von WITRON<br>";"Anja Hauenschild";"06.01.2015 12:41:51";"Beate Büder-Wendelborn";"11.10.2016 10:31:22";"";"";"";"";"";"";"";"";"nein";"0";"";
"2800";"+49 (0) 4163 / 8163-0";"";"";"";"";"";"info@dammann-technik.de";"";"";"Michael Kasteleiner";"";"Hebert Dammann GmbH";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"Dorfstraße 17<br />
21614 Buxtehude-Hedendorf<br/>";"Dorfstraße 17
21614 Buxtehude-Hedendorf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Beate Büder-Wendelborn";"14.10.2015 14:49:28";"Beate Büder-Wendelborn";"16.02.2017 09:14:35";"";"Dorfstraße 17";"21614";"Buxtehude-Hedendorf";"DE";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"0";"";
"928";"+49 (5351) 5586-0";"";"+49 (5351) 37324";"";"";"";"";"";"";"Michael Kasteleiner";"";"GÜNTER TILL GMBH & CO. KG";"# nicht ausgewählt #";"<100";"http://www.till-hydraulik.de/impressum.htm";"";"";"";"";"";"";"";"";"";"";"Schwalbenbreite 4<br />
38350 Helmstedt<br/>";"Schwalbenbreite 4
38350 Helmstedt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz: 26 Mill. in 2014 ca. 260  Mitarbeiter.<br>Werke in Magdeburg, Braunschweig und Helmstedt";"Tim Comanns";"19.12.2013 15:19:28";"Anna Ljubomirska";"06.10.2016 14:36:21";"Präzisionsmechanik";"Schwalbenbreite 4";"38350";"Helmstedt";"DE";"";"";"D-Kunde = unter 50 Mio. Umsatz";"ja";"";"Nicole Tietz";
"910";"+49 (906) 9 82-20 00";"";"";"";"";"";"info@grenzebach.com";"";"";"Benno Löffler";"";"Grenzebach Maschinenbau GmbH";"# nicht ausgewählt #";"<100";"http://www.grenzebach.de/";"";"";"";"";"";"";"";"";"";"";"Albanusstrasse 1<br />
86663 Asbach-Bäumenheim<br/>";"Albanusstrasse 1
86663 Asbach-Bäumenheim";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz Gruppe: 320 Millionen EUR<br>";"Tim Comanns";"19.12.2013 15:19:28";"Beate Büder-Wendelborn";"09.02.2017 11:07:37";"";"Albanusstrasse 1";"86663";"Asbach-Bäumenheim/Hamlar";"DE";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"ja";"0";"Nicole Tietz";
"2541";"+49 (7938) 81-0";"";"";"";"";"";"info1@de.ebmpapst.com";"";"";"Benno Löffler";"";"ebm-papst Mulfingen GmbH & Co. KG";"# nicht ausgewählt #";"<100";"http://www.ebmpapst.com";"";"";"";"";"";"";"";"";"";"";"Bachmühle 2<br />
74673 Mulfingen<br/>";"Bachmühle 2
74673 Mulfingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz Gruppe 2013: 1.501 Millionen €<br>";"Anja Hauenschild";"16.12.2014 10:48:56";"Beate Büder-Wendelborn";"08.02.2017 12:02:33";"";"";"";"";"";"";"";"";"nein";"0";"";
"701";"+49 (711) 7597-0";"";"+49 (711) 753316";"";"";"";"";"";"";"Benno Löffler";"";"EUCHNER GmbH & Co.KG";"# nicht ausgewählt #";"<100";"http://www.euchner.de";"";"";"";"";"";"";"";"";"";"";"Kohlhammerstrasse 16<br />
70771 Leinfelden-Echterdingen<br/>";"Kohlhammerstrasse 16
70771 Leinfelden-Echterdingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz 2013: 100 Millionen €<br>";"Tim Comanns";"19.12.2013 15:19:21";"Beate Büder-Wendelborn";"02.02.2017 16:30:15";"";"Kohlhammerstrasse 16";"70771";"Leinfelden-Echterdingen";"DE";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"2013";"Nicole Tietz";
"1580";"+49 (5203) 701-0";"";"+49 (5203) 701-172";"";"";"";"";"";"";"Andreas Simon";"";"Poppe + Potthoff Präzisionsstahlrohre GmbH";"# nicht ausgewählt #";"<100";"http://www.poppe-potthoff.com/unternehmen/standorte/poppe-potthoff-praezisionsstahlrohre";"";"";"";"";"";"";"";"";"";"";"Engerstraße 35 - 37<br />
33824 Werther<br/>";"Engerstraße 35 - 37
33824 Werther";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:48";"Beate Büder-Wendelborn";"21.04.2016 11:10:08";"";"Engerstraße 35 - 37";"33824";"Werther";"DE";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"Nicole Tietz";
"2495";"+49 (7025) 12-0";"";"";"";"";"";"info@bielomatik.de";"";"";"Benno Löffler";"";"bielomatik Leuze GmbH + Co. KG";"# nicht ausgewählt #";"500-1000";"http://www.bielomatik.de";"";"";"";"";"";"";"";"";"";"";"Daimlerstr. 6 - 10<br />
72639 Neuffen<br/>";"Daimlerstr. 6 - 10
72639 Neuffen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"149";"Euro";"Umsatz Gruppe 2013: 134 Millionen €<br>";"Anja Hauenschild";"03.12.2014 13:03:53";"Beate Büder-Wendelborn";"08.02.2017 15:19:10";"";"";"";"";"";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"BEL";
"1359";"+49 (7143) 968-30";"";"";"";"";"";"";"";"";"Benno Löffler";"";"LQ Mechatronik-Systeme GmbH";"# nicht ausgewählt #";"<100";"http://www.lq-group.com/";"";"";"";"";"";"";"";"";"";"";"Carl-Benz-Straße 6<br />
74354 Besigheim<br/>";"Carl-Benz-Straße 6
74354 Besigheim";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:41";"Beate Büder-Wendelborn";"10.08.2016 14:50:11";"";"Carl-Benz-Straße 6";"74354";"Besigheim";"DE";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"ja";"0";"Benno Löffler";
"2967";"+49 (39202) 692-0";"";"";"";"";"";"";"";"";"Michael Kasteleiner";"";"Laempe Mössner Sinto GmbH";"# nicht ausgewählt #";"200-350";"";"";"";"";"";"";"";"";"";"";"";"Hintern Hecken 3<br />
D-39179 Barleben<br/>";"Hintern Hecken 3
D-39179 Barleben";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"56";"Euro";"";"Anna Ljubomirska";"03.03.2016 13:18:10";"Beate Büder-Wendelborn";"08.02.2017 10:08:54";"";"";"";"";"";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"3044";"+49 (40) 72769-0";"";"";"";"";"";"";"";"";"Michael Kasteleiner";"";"Hans Lutz Maschinenfabrik GmbH & Co. KG";"# nicht ausgewählt #";"100-200";"";"";"";"";"";"";"";"";"";"";"";"Gutenbergstraße 19<br />
D-21465 Reinbek / Hamburg<br/>";"Gutenbergstraße 19
D-21465 Reinbek / Hamburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"21";"Euro";"Aufzüge";"Anna Ljubomirska";"30.05.2016 09:04:25";"Beate Büder-Wendelborn";"07.02.2017 08:41:36";"";"";"";"";"";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"0";"";
"2534";"+49 (351) 40 81-0";"";"";"";"";"";" zentrale@dka-dd.de";"";"";"Benno Löffler";"";"Dresdner Kühlanlagenbau GmbH";"# nicht ausgewählt #";"500-1000";"http://www.dka.eu";"";"";"";"";"";"";"";"";"";"";"Werdauer Str. 1 - 3<br />
01069 Dresden<br/>";"Werdauer Str. 1 - 3
01069 Dresden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"75";"Euro";"Umsatz 2011: 80 Millionen €<br>";"Anja Hauenschild";"11.12.2014 12:53:38";"Beate Büder-Wendelborn";"08.03.2017 09:47:13";"";"";"";"";"";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"2488";"+49 (8252) 97-0";"";"";"";"";"";"info@bauer.de";"";"";"Benno Löffler";"";"Bauer Maschinen GmbH";"# nicht ausgewählt #";"<100";"http://www.bauer.de";"";"";"";"";"";"";"";"";"";"";"BAUER-Str. 1<br />
86529 Schrobenhausen<br/>";"BAUER-Str. 1
86529 Schrobenhausen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz Gruppe 2013: 1.404 Millionen €<br>";"Anja Hauenschild";"02.12.2014 15:54:31";"Beate Büder-Wendelborn";"02.02.2017 14:47:28";"";"";"";"";"";"";"";"";"nein";"0";"";
"164";"+49 (2763) 2122870";"";"+49 (2763) 2122879";"";"";"";"info@abs-trenchless.com";"";"";"Michael Kasteleiner";"";"ABS Trenchless GmbH";"";"";"http://www.abs-trenchless.com";"";"";"";"";"";"";"";"";"";"";"Industriestraße 3<br />
57489 Drolshagen<br/>";"Industriestraße 3
57489 Drolshagen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:04";"Beate Büder-Wendelborn";"14.10.2015 15:24:12";"";"Industriestraße 3";"57489";"Drolshagen";"DE";"";"";"";"ja";"";"Nicole Tietz";
"3131";"+49 (7195)  701-0";"";"";"";"";"";"info@fessmann.de";"";"";"Benno Löffler";"";"FESSMANN GmbH und Co KG";"# nicht ausgewählt #";"<100";"www.fessmann.com";"";"";"";"";"";"";"";"";"";"";"Herzog-Philipp-Str. 39<br />
D-71364 Winnenden<br/>";"Herzog-Philipp-Str. 39
D-71364 Winnenden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Anna Ljubomirska";"07.02.2017 15:32:32";"Beate Büder-Wendelborn";"28.02.2017 11:54:45";"";"";"";"";"";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"";"";
"2963";"+49 (7303) 96 05-0 ";"";"";"";"";"";"";"";"";"Benno Löffler";"";"Josef Kränzle GmbH & Co.KG";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"Rudolf-Diesel-Straße 20<br />
89257 Illertissen<br/>";"Rudolf-Diesel-Straße 20
89257 Illertissen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"45";"Euro";"";"Anna Ljubomirska";"29.02.2016 11:23:37";"Beate Büder-Wendelborn";"22.03.2016 14:21:25";"";"";"";"";"";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"0";"";
"2974";"+49 (2324) 207-0";"";"";"";"";"";"";"";"";"Michael Kasteleiner";"";"Maschinenfabrik KÖPPERN GmbH & Co. KG";"# nicht ausgewählt #";"200-350";"";"";"";"";"";"";"";"";"";"";"";"Königsteiner Str. 2<br />
45529 Hattingen<br/>";"Königsteiner Str. 2
45529 Hattingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"75";"Euro";"";"Anna Ljubomirska";"03.03.2016 14:54:34";"Beate Büder-Wendelborn";"24.02.2017 12:33:28";"";"";"";"";"";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"2450";"+49 (0) 25 68 / 9 34 70";"";"";"";"";"";"info@2-g.de";"";"";"Michael Kasteleiner";"";"2G Energy AG";"# nicht ausgewählt #";"350-500";"http://www.2-g.com/de/";"";"";"";"";"";"";"";"";"";"";"Benzstrasse 3<br />
48619 Heek<br/>";"Benzstrasse 3
48619 Heek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"146";"Euro";"";"Anja Hauenschild";"05.11.2014 17:59:45";"Beate Büder-Wendelborn";"12.05.2016 15:13:53";"";"";"";"";"";"";"";"";"nein";"0";"";
"2659";"+49 (6151) 9 48-0";"";"";"";"";"";"info@isravision.com";"";"";"Michael Kasteleiner";"";"ISRA VISION AG";"# nicht ausgewählt #";"<100";"http://www.isravision.com";"";"";"";"";"";"";"";"";"";"";"Industriestr. 14<br />
64297 Darmstadt<br/>";"Industriestr. 14
64297 Darmstadt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz Gruppe 2013: 90 Millionen EUR<br>";"Anja Hauenschild";"17.03.2015 09:49:22";"Beate Büder-Wendelborn";"08.03.2017 11:35:13";"";"";"";"";"";"";"";"";"nein";"0";"";
"2396";"+49 (7233) 74-0 ";"";"";"";"";"";"info@bellmer.de";"";"";"Benno Löffler";"";"Gebr. Bellmer GmbH Maschinenfabrik";"# nicht ausgewählt #";"350-500";"www.bellmer.de";"";"";"";"";"";"";"";"";"";"";"Hauptstraße 37 - 43<br />
75223 Niefern-Öschelbronn<br/>";"Hauptstraße 37 - 43
75223 Niefern-Öschelbronn";"";"";"";"";"";"";"Hauptstraße 37 - 43<br />
75223 Niefern-Öschelbronn<br/>";"Hauptstraße 37 - 43
75223 Niefern-Öschelbronn";"";"";"";"";"";"";"";"# nicht ausgewählt #";"75";"Euro";"";"Anna Ljubomirska";"15.09.2014 16:24:07";"Beate Büder-Wendelborn";"14.02.2017 15:01:08";"";"";"";"";"";"";"Höchstleisterstudie 2014: Potenzieller Kandidat";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"348";"+49 (6631) 9113-0";"";"+49 (6631) 9113-13";"";"";"";"center@de.bell";"";"";"Andreas Simon";"";"Bell Equipment (Deutschland) GmbH";"# nicht ausgewählt #";"<100";"http://www.bellequipment.de";"";"";"";"";"";"";"";"";"";"";"Willy-Brandt-Str. 4-6<br />
36304 Alsfeld<br/>";"Willy-Brandt-Str. 4-6
36304 Alsfeld";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"PRODUKTIONSSTANDORT IST EISENACH!!! Bell Equipment (Deutschland) GmbH Geschäftsführer: André Krings Andreas Heinrich Konrad Schied Sitz: Alsfeld/Hessen Willy-Brandt-Str. 4-6 D-36304 Alsfeld Telefon 0 66 31 / 9 11 3-0 Telefax 0 66 31 / 9 11 3-13 E-Mail: center@de.bellequipment.com Internet: www.bellequipment.de Amtsgericht: Gießen, HRB 5333 Ust.-ID-Nr.: DE812907996 Steuer-Nr.: 018/229/31457 Gerichtsstand: Frankfurt / Main";"Tim Comanns";"19.12.2013 15:19:10";"Beate Büder-Wendelborn";"14.02.2017 14:06:11";"";"Willy-Brandt-Str. 4-6";"36304";"Alsfeld";"DE";"";"";"";"nein";"";"Nicole Tietz";
"2519";"+49 (2773) 85-0";"";"";"";"";"";"info@cloos.de";"";"";"Michael Kasteleiner";"";"CARL CLOOS SCHWEISSTECHNIK GMBH";"# nicht ausgewählt #";"<100";"http://www.cloos.de";"";"";"";"";"";"";"";"";"";"";"Industriestr. 34 - 36<br />
35708 Haiger<br/>";"Industriestr. 34 - 36
35708 Haiger";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Anja Hauenschild";"09.12.2014 15:28:26";"Beate Büder-Wendelborn";"03.11.2015 14:30:34";"";"";"";"";"";"";"";"";"nein";"0";"";
"2554";"+49 (2331) 78 80-0";"";"";"";"";"";"ed-hg@engel.at";"";"";"Michael Kasteleiner";"";"ENGEL Deutschland GmbH";"# nicht ausgewählt #";"<100";"http://www.engelglobal.com/de/de.html";"";"";"";"";"";"";"";"";"";"";"Lange Eck 1<br />
58099 Hagen<br/>";"Lange Eck 1
58099 Hagen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz Grußße 2013: 950 Millionen €<br><br>gehört zur Gruppe ENGEL AUSTRIA<br>";"Anja Hauenschild";"05.01.2015 12:50:10";"Beate Büder-Wendelborn";"04.04.2017 10:51:14";"";"";"";"";"";"";"";"B-Kunde = über 150 Mio. Umsatz";"nein";"0";"";
"3149";"+49 (5944) 9301-0";"";"";"";"";"";"info@hpl-group.de";"";"";"Anna Ljubomirska";"";"hpl-Neugnadenfelder Maschinenfabrik GmbH";"# nicht ausgewählt #";"<100";"www.hpl-group.de";"";"";"";"";"";"";"";"";"";"";"Spangenbergstraße 20<br />
49824 Ringe/Neugnadenfeld<br/>";"Spangenbergstraße 20
49824 Ringe/Neugnadenfeld";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Anna Ljubomirska";"28.03.2017 15:33:54";"Anna Ljubomirska";"28.03.2017 15:33:54";"";"";"";"";"";"";"";"";"nein";"";"";
"2702";" +49 7461 706-0";"";"";"";"";"";"info@klsmartin.com";"";"";"Beate Büder-Wendelborn";"";"Karl Leibinger Medizintechnik GmbH & Co. KG";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"KLS Martin Platz <br />
78532 Tuttlingen<br/>";"KLS Martin Platz 
78532 Tuttlingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Beate Büder-Wendelborn";"24.07.2015 13:47:49";"Beate Büder-Wendelborn";"24.07.2015 13:47:49";"";"KLS Martin Platz";"78532";"Tuttlingen";"DE";"";"";"";"nein";"0";"";
"2844";"+49 (7364) 950700";"";"";"";"";"";"leitz@leitz.org";"";"";"Benno Löffler";"";"BOEHLERIT GmbH & Co KG";"# nicht ausgewählt #";"500-1000";"";"";"";"";"";"";"";"";"";"";"";"Heidenheimer Str. 108<br />
73447 Oberkochen<br/>";"Heidenheimer Str. 108
73447 Oberkochen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"108";"Euro";"";"Anna Ljubomirska";"06.11.2015 16:30:36";"Beate Büder-Wendelborn";"12.07.2016 09:52:44";"";"";"";"";"";"";"";"C-Kunde = 150 - 50 Mio. Umsatz";"nein";"0";"";
"2533";"+49 (8382) 7 03-0";"";"";"";"";"";"webmaster@lindauerdornier.com";"";"";"Benno Löffler";"";"Lindauer DORNIER GmbH";"# nicht ausgewählt #";"<100";"http://www.lindauerdornier.com";"";"";"";"";"";"";"";"";"";"";"Rickenbacher Str. 119<br />
88131 Lindau<br/>";"Rickenbacher Str. 119
88131 Lindau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Umsatz 2011: 270 Millionen €<br>";"Anja Hauenschild";"11.12.2014 12:38:12";"Beate Büder-Wendelborn";"12.05.2017 11:36:37";"";"";"";"";"";"";"";"";"nein";"0";"";
"648";"+49 (7153) 9820";"";"+49 (7153) 982307";"";"";"";"";"";"";"Benno Löffler";"";"ELECTROSTAR Schöttle GmbH & Co.";"# nicht ausgewählt #";"";"http://www.starmix.de";"";"";"";"";"";"";"";"";"";"";"Stuttgarter Str. 36<br />
73262 Reichenbach an der Fils<br/>";"Stuttgarter Str. 36
73262 Reichenbach an der Fils";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:19";"Beate Büder-Wendelborn";"03.03.2016 15:56:35";"";"Stuttgarter Str. 36";"73262";"Reichenbach an der Fils";"DE";"";"";"D-Kunde = unter 50 Mio. Umsatz";"ja";"0";"Lars Vollmer";
"2814";"+49 (7340) 91 88 98-0";"";"";"";"";"";"";"";"";"Benno Löffler";"";"AWG Fittings GmbH";"# nicht ausgewählt #";"200-350";"";"";"";"";"";"";"";"";"";"";"";"Bergstraße 25<br />
89177 Ballendorf<br/>";"Bergstraße 25
89177 Ballendorf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"37";"Euro";"";"Anna Ljubomirska";"16.10.2015 14:58:31";"Beate Büder-Wendelborn";"23.10.2015 10:28:42";"";"";"";"";"";"";"";"D-Kunde = unter 50 Mio. Umsatz";"nein";"0";"BEL";
"142";"+49 (41) 21 04-37";"";"+49 (41) 21 04-39";"";"";"";"service@gigmbh.de";"";"";"Tim Comanns";"";"[GIG]";"";"";"http://www.gigmbh.de";"";"";"";"";"";"";"";"";"";"";"Blöckenweg 5<br />
21423 Winsen / Rottorf<br/>";"Blöckenweg 5
21423 Winsen / Rottorf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:04";"Tim Comanns";"19.12.2013 15:19:04";"Gesellschaft für Industrie- und Gebäudetechnik mbH";"Blöckenweg 5";"21423";"Winsen / Rottorf";"DE";"";"";"";"nein";"";"Lars Vollmer";
"143";"+49 (721) 96 00";"";"";"";"";"";"";"";"";"Tim Comanns";"";"1&1 Internet AG";"";"";"http://www.1und1.de/";"";"";"";"";"";"";"";"";"";"";"Elgendorfer Straße 57<br />
56410 Montabaur<br/>";"Elgendorfer Straße 57
56410 Montabaur";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:04";"Anna Ljubomirska";"09.10.2014 15:33:40";"";"Elgendorfer Straße 57";"56410";"Montabaur";"DE";"";"";"";"nein";"";"Nicole Tietz";
"144";"+49 (511) 22 00 56 200";"";"+49 (511) 22 00 56 299";"";"";"";"info@4smile.de";"";"";"Tim Comanns";"";"4smile - Gebäudereinigung";"# nicht ausgewählt #";"<100";"http://www.smile-gebaeudereinigung.de";"";"";"";"";"";"";"";"";"";"";"Lister Kirchweg 76<br />
30177 Hannover<br/>";"Lister Kirchweg 76
30177 Hannover";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:04";"Nicole Tietz";"17.07.2014 13:43:46";"";"Lister Kirchweg 76";"30177";"Hannover";"DE";"";"";"";"nein";"";"Nicole Tietz";
